index_code,date,open,close,low,high,volume,money,change,label
sh000001,38026.0000 ,1679.5800 ,1703.5300 ,1679.1000 ,1703.7700 ,26179743000.0000 ,21366236500.0000 ,0.0145 ,1715.4600 
sh000001,38027.0000 ,1708.9000 ,1691.0100 ,1683.6000 ,1715.4600 ,27465357000.0000 ,22258809500.0000 ,-0.0073 ,1692.9000 
sh000001,38028.0000 ,1691.6100 ,1677.7600 ,1660.0100 ,1692.9000 ,26577917000.0000 ,20943277500.0000 ,-0.0078 ,1693.0100 
sh000001,38029.0000 ,1679.0800 ,1663.8300 ,1660.3100 ,1693.0100 ,27122353000.0000 ,21718093000.0000 ,-0.0083 ,1672.4400 
sh000001,38030.0000 ,1664.6000 ,1658.5400 ,1653.2400 ,1672.4400 ,22697762000.0000 ,18580437100.0000 ,-0.0032 ,1697.2600 
sh000001,38033.0000 ,1661.4500 ,1696.8300 ,1661.4500 ,1697.2600 ,22991106000.0000 ,19420663800.0000 ,0.0231 ,1710.8600 
sh000001,38034.0000 ,1701.4100 ,1703.7700 ,1693.9700 ,1710.8600 ,29754209000.0000 ,25884237600.0000 ,0.0041 ,1719.8900 
sh000001,38035.0000 ,1704.7500 ,1717.1000 ,1697.3200 ,1719.8900 ,29218375000.0000 ,25488156800.0000 ,0.0078 ,1728.0200 
sh000001,38036.0000 ,1719.3100 ,1717.0200 ,1710.7100 ,1728.0200 ,27338781000.0000 ,23640127900.0000 ,0.0000 ,1722.5700 
sh000001,38037.0000 ,1715.8100 ,1721.7500 ,1702.9300 ,1722.5700 ,23409159000.0000 ,19954141400.0000 ,0.0028 ,1730.2800 
sh000001,38040.0000 ,1725.5900 ,1681.6500 ,1680.8900 ,1730.2800 ,28562975000.0000 ,23885964500.0000 ,-0.0233 ,1683.0400 
sh000001,38041.0000 ,1675.6400 ,1682.3000 ,1650.1800 ,1683.0400 ,26999381000.0000 ,21955399400.0000 ,0.0004 ,1700.5000 
sh000001,38042.0000 ,1684.9000 ,1647.3800 ,1642.6900 ,1700.5000 ,24586205000.0000 ,20221345500.0000 ,-0.0208 ,1655.3000 
sh000001,38043.0000 ,1642.4100 ,1654.9000 ,1628.8400 ,1655.3000 ,23111684000.0000 ,18267056600.0000 ,0.0046 ,1675.3200 
sh000001,38044.0000 ,1657.2600 ,1675.0700 ,1657.0400 ,1675.3200 ,19708363000.0000 ,16461930200.0000 ,0.0122 ,1690.0700 
sh000001,38047.0000 ,1676.2200 ,1689.7600 ,1661.3400 ,1690.0700 ,19990178000.0000 ,17093334900.0000 ,0.0088 ,1694.8200 
sh000001,38048.0000 ,1692.6200 ,1687.2800 ,1677.9800 ,1694.8200 ,20507503000.0000 ,17387185300.0000 ,-0.0015 ,1688.9400 
sh000001,38049.0000 ,1686.9600 ,1661.8100 ,1654.5600 ,1688.9400 ,19239974000.0000 ,15950583200.0000 ,-0.0151 ,1670.1600 
sh000001,38050.0000 ,1658.6300 ,1668.8700 ,1642.6300 ,1670.1600 ,17885429000.0000 ,14706938100.0000 ,0.0042 ,1675.0300 
sh000001,38051.0000 ,1671.0600 ,1662.1000 ,1660.2100 ,1675.0300 ,16075569000.0000 ,13261256000.0000 ,-0.0041 ,1665.7300 
sh000001,38054.0000 ,1660.6400 ,1637.1400 ,1635.4400 ,1665.7300 ,15639185000.0000 ,12839133200.0000 ,-0.0150 ,1659.6500 
sh000001,38055.0000 ,1636.2100 ,1637.1000 ,1634.7100 ,1659.6500 ,16222457000.0000 ,12679282800.0000 ,0.0000 ,1678.4000 
sh000001,38056.0000 ,1639.6800 ,1678.0700 ,1639.6800 ,1678.4000 ,16554574000.0000 ,13186223800.0000 ,0.0250 ,1698.7800 
sh000001,38057.0000 ,1680.3100 ,1691.6400 ,1672.6700 ,1698.7800 ,18503378000.0000 ,15692468700.0000 ,0.0081 ,1699.2500 
sh000001,38058.0000 ,1692.8700 ,1694.7400 ,1680.4500 ,1699.2500 ,15975439000.0000 ,13584365000.0000 ,0.0018 ,1738.9800 
sh000001,38061.0000 ,1696.9400 ,1736.2200 ,1696.8200 ,1738.9800 ,25200172000.0000 ,21671367800.0000 ,0.0245 ,1747.9800 
sh000001,38062.0000 ,1741.6200 ,1745.5400 ,1730.7400 ,1747.9800 ,22176250000.0000 ,19179496400.0000 ,0.0054 ,1750.7100 
sh000001,38063.0000 ,1746.7400 ,1745.1000 ,1730.2700 ,1750.7100 ,19090615000.0000 ,16477157000.0000 ,-0.0003 ,1755.1000 
sh000001,38064.0000 ,1746.1800 ,1717.2600 ,1714.9000 ,1755.1000 ,20991205000.0000 ,17664375200.0000 ,-0.0160 ,1748.1900 
sh000001,38065.0000 ,1715.4700 ,1747.8700 ,1710.8400 ,1748.1900 ,17721259000.0000 ,14878384800.0000 ,0.0178 ,1760.0800 
sh000001,38068.0000 ,1749.7100 ,1755.6900 ,1742.3700 ,1760.0800 ,17585868000.0000 ,14974710100.0000 ,0.0045 ,1755.3300 
sh000001,38069.0000 ,1755.3200 ,1741.7000 ,1731.4900 ,1755.3300 ,18483605000.0000 ,15877938100.0000 ,-0.0080 ,1752.4200 
sh000001,38070.0000 ,1740.8900 ,1740.0500 ,1729.5100 ,1752.4200 ,17821554000.0000 ,15500502400.0000 ,-0.0009 ,1751.8100 
sh000001,38071.0000 ,1737.4900 ,1736.4800 ,1725.9800 ,1751.8100 ,16185441000.0000 ,13817952300.0000 ,-0.0021 ,1741.5700 
sh000001,38072.0000 ,1737.0600 ,1734.0500 ,1720.8800 ,1741.5700 ,16391962000.0000 ,14593097300.0000 ,-0.0014 ,1740.3100 
sh000001,38075.0000 ,1734.5900 ,1719.6700 ,1717.8600 ,1740.3100 ,16430881000.0000 ,14358914100.0000 ,-0.0083 ,1727.1800 
sh000001,38076.0000 ,1718.7800 ,1724.2800 ,1711.6600 ,1727.1800 ,13746278000.0000 ,12300178200.0000 ,0.0027 ,1745.7000 
